DateTime,MainStatus,SubStatus,FullStatus,StatusText,T,Service,FaultMsg,Value0
5/12/2014 2:53,0,1,0:01,Turbine starting,1,FALSE,FALSE,9.9
5/12/2014 2:54,0,0,0:00,Turbine in operation,1,FALSE,FALSE,11.7
5/12/2014 3:01,62,701,62 : 701,Feeding fault : Overload chopper inverter 1,6,FALSE,FALSE,8.5
5/12/2014 3:02,0,2,0:02,Turbine operational,1,FALSE,FALSE,8.5
5/12/2014 3:04,0,1,0:01,Turbine starting,1,FALSE,FALSE,8.4
5/12/2014 3:05,0,0,0:00,Turbine in operation,1,FALSE,FALSE,8.7
5/12/2014 3:37,62,701,62 : 701,Feeding fault : Overload chopper inverter 1,6,FALSE,FALSE,7.1
5/12/2014 3:37,0,2,0:02,Turbine operational,1,FALSE,FALSE,7.3
5/12/2014 3:40,0,1,0:01,Turbine starting,1,FALSE,FALSE,8.6
5/12/2014 3:41,0,0,0:00,Turbine in operation,1,FALSE,FALSE,11.2
5/12/2014 3:44,62,701,62 : 701,Feeding fault : Overload chopper inverter 1,6,FALSE,FALSE,8.6
5/12/2014 3:45,0,2,0:02,Turbine operational,1,FALSE,FALSE,10.9
5/12/2014 3:47,0,1,0:01,Turbine starting,1,FALSE,FALSE,10.7
5/12/2014 3:48,0,0,0:00,Turbine in operation,1,FALSE,FALSE,11.2
5/12/2014 4:36,62,701,62 : 701,Feeding fault : Overload chopper inverter 1,6,FALSE,FALSE,8.1
5/12/2014 4:37,0,2,0:02,Turbine operational,1,FALSE,FALSE,9.5
5/12/2014 4:39,0,1,0:01,Turbine starting,1,FALSE,FALSE,8.1
5/12/2014 4:40,0,0,0:00,Turbine in operation,1,FALSE,FALSE,9.5
5/12/2014 5:02,62,701,62 : 701,Feeding fault : Overload chopper inverter 1,6,FALSE,FALSE,9.4
5/12/2014 5:03,0,2,0:02,Turbine operational,1,FALSE,FALSE,10.6
5/12/2014 5:05,0,1,0:01,Turbine starting,1,FALSE,FALSE,9.9
5/12/2014 5:06,0,0,0:00,Turbine in operation,1,FALSE,FALSE,10.2
5/12/2014 12:36,62,701,62 : 701,Feeding fault : Overload chopper inverter 1,6,FALSE,TRUE,8.6
5/12/2014 13:03,222,3,222:03:00,Turbine reset : Scada system,6,FALSE,FALSE,2.6
5/12/2014 13:03,0,2,0:02,Turbine operational,1,FALSE,FALSE,3.4
5/12/2014 13:06,0,1,0:01,Turbine starting,1,FALSE,FALSE,9.1
5/12/2014 13:06,0,5,0:05,Calibration of  load control,1,FALSE,FALSE,6.8
5/12/2014 13:06,0,1,0:01,Turbine starting,1,FALSE,FALSE,9.8
5/12/2014 13:07,0,0,0:00,Turbine in operation,1,FALSE,FALSE,8.7
8/12/2014 3:04,62,701,62 : 701,Feeding fault : Overload chopper inverter 1,6,FALSE,FALSE,8.3
8/12/2014 3:05,0,2,0:02,Turbine operational,1,FALSE,FALSE,10.3
8/12/2014 3:07,0,1,0:01,Turbine starting,1,FALSE,FALSE,4.5
8/12/2014 3:08,0,0,0:00,Turbine in operation,1,FALSE,FALSE,9.4
8/12/2014 3:58,62,701,62 : 701,Feeding fault : Overload chopper inverter 1,6,FALSE,FALSE,8.5
8/12/2014 3:59,0,2,0:02,Turbine operational,1,FALSE,FALSE,8.8
8/12/2014 4:01,0,1,0:01,Turbine starting,1,FALSE,FALSE,10.4
8/12/2014 4:02,0,0,0:00,Turbine in operation,1,FALSE,FALSE,9.4
8/12/2014 4:06,62,701,62 : 701,Feeding fault : Overload chopper inverter 1,6,FALSE,FALSE,9.4
8/12/2014 4:07,0,2,0:02,Turbine operational,1,FALSE,FALSE,8.1
8/12/2014 4:09,0,1,0:01,Turbine starting,1,FALSE,FALSE,12.1
8/12/2014 4:10,0,0,0:00,Turbine in operation,1,FALSE,FALSE,11.6
8/12/2014 4:48,62,701,62 : 701,Feeding fault : Overload chopper inverter 1,6,FALSE,FALSE,8.5
8/12/2014 4:49,0,2,0:02,Turbine operational,1,FALSE,FALSE,10.8
8/12/2014 4:51,0,1,0:01,Turbine starting,1,FALSE,FALSE,11
8/12/2014 4:52,0,0,0:00,Turbine in operation,1,FALSE,FALSE,8.4
8/12/2014 5:00,62,701,62 : 701,Feeding fault : Overload chopper inverter 1,6,FALSE,FALSE,8.4
8/12/2014 5:02,0,2,0:02,Turbine operational,1,FALSE,FALSE,8.9
8/12/2014 5:05,0,1,0:01,Turbine starting,1,FALSE,FALSE,7.7
8/12/2014 5:06,0,0,0:00,Turbine in operation,1,FALSE,FALSE,8
8/12/2014 5:23,62,701,62 : 701,Feeding fault : Overload chopper inverter 1,6,FALSE,FALSE,8.3
